,z_angle,acc,y_true,y_pred,y_pred_prob,top2_pred_categories,Prob_C0,Prob_C1,Prob_C2,Prob_C3,Prob_C4,Prob_C5,Prob_C6,Prob_C7,Prob_C8,Prob_C9,top_pred_categories,misclassified
0,-90,0.4,5,5,0.9877203106880188,[5 6],6.626323312275417e-08,0.00013448669051285833,3.601492440113414e-17,6.689397733655733e-12,2.6628837076714262e-05,0.9877203106880188,0.012110898271203041,6.966913076176043e-14,2.8814580929625855e-11,7.554643161711283e-06,[5 6 1 4 9 0 8 3 7 2],0
1,-90,0.4,1,1,0.9915334582328796,[1 6],1.5788948246704335e-14,0.9915334582328796,3.385323434339921e-13,2.1120402302066132e-11,1.4275694515397674e-10,3.037398998984031e-09,0.008466560393571854,1.344181656173088e-13,2.966853388194934e-15,1.0192152297919949e-13,[1 6 5 4 3 2 7 9 0 8],0
2,-90,0.4,4,5,0.45374712347984314,[5 4],9.646745638747234e-06,0.00035298735019750893,8.509218872733816e-16,6.088052284525247e-09,0.4466412365436554,0.45374712347984314,0.09763467311859131,7.694770927206551e-13,6.544479957959481e-10,0.0016142715467140079,[5 4 6 9 1 0 3 8 7 2],1
3,-90,0.4,0,5,0.8666395545005798,[5 6],0.00044789689127355814,0.00675133615732193,7.12427688999602e-14,2.7240396605066053e-08,0.02325628511607647,0.8666395545005798,0.1029035747051239,6.392220195002019e-13,2.6224392449258893e-11,1.3362373465497512e-06,[5 6 4 1 0 9 3 8 7 2],1
4,-90,0.4,3,1,0.8702144622802734,[1 6],8.458609077651846e-15,0.8702144622802734,0.006155192386358976,0.00937170721590519,2.7635104871137628e-08,3.059443254294081e-10,0.09831351041793823,0.01593891903758049,6.104057320044376e-06,2.735514037510711e-10,[1 6 7 3 2 8 4 5 9 0],1
5,-90,0.4,7,2,0.9042316675186157,[2 7],6.144617605543371e-19,8.462501455142046e-08,0.9042316675186157,1.0878203511310858e-06,1.1811013863986808e-14,2.414573824662382e-16,9.679700241349565e-08,0.0957670658826828,4.065029146627097e-10,7.293582994869556e-17,[2 7 3 6 1 8 4 5 9 0],1
6,-90,0.4,6,1,0.9232038855552673,[1 6],3.308407150667825e-13,0.9232038855552673,1.9533458184284314e-11,2.3958662831446986e-10,1.1433135549410167e-09,7.667566137570248e-09,0.07679609954357147,1.8771996110333866e-11,8.795447145127158e-14,1.6720085602509038e-12,[1 6 5 4 3 2 7 9 0 8],1
7,-90,0.4,2,2,0.9833606481552124,[2 7],7.622613455048493e-20,5.761564807471586e-07,0.9833606481552124,4.3412583750068734e-07,4.6590530573624965e-15,7.964464852830484e-17,6.926293849573995e-08,0.0166382547467947,3.3245226016553886e-11,8.084978285198437e-18,[2 7 1 3 6 8 4 5 9 0],0
8,-90,0.4,9,9,0.9284915328025818,[9 5],1.586493159067004e-09,1.8946974478240008e-07,2.314751620485728e-18,2.349333748374871e-11,0.0022204944398254156,0.06828834116458893,0.0009994548745453358,6.369539227654708e-13,5.3077002348800306e-08,0.9284915328025818,[9 5 4 6 1 8 0 3 7 2],0
9,-90,0.4,8,7,0.5004801750183105,[7 2],3.6033922698984477e-13,0.014082886278629303,0.44194015860557556,0.02425592578947544,1.2474584032418079e-08,4.173466294776773e-10,0.019224323332309723,0.5004801750183105,1.6504051018273458e-05,1.639420821319959e-09,[7 2 3 6 1 8 4 9 5 0],1
