,z_angle,acc,y_true,y_pred,y_pred_prob,top2_pred_categories,Prob_C0,Prob_C1,Prob_C2,Prob_C3,Prob_C4,Prob_C5,Prob_C6,Prob_C7,Prob_C8,Prob_C9,top_pred_categories,misclassified
0,-90,0.1,5,1,0.9946613907814026,[1 6],2.723566814785694e-12,0.9946613907814026,1.6125292767732446e-10,7.422393650813319e-07,5.7585325521358754e-06,1.6227882926322934e-10,0.0053321379236876965,1.6988016895980174e-12,6.332985893510445e-13,4.571900844019261e-11,[1 6 4 3 5 2 9 0 7 8],1
1,-90,0.1,0,1,0.9949048757553101,[1 6],7.099874854699095e-11,0.9949048757553101,3.13055354209113e-12,2.2818714739969437e-07,4.594392157741822e-05,9.828934999234207e-09,0.005048972088843584,5.06271389285988e-14,2.871282313472723e-13,3.1120417354202345e-10,[1 6 4 3 5 9 0 2 8 7],1
2,-90,0.1,6,1,0.993403971195221,[1 6],5.396279603719911e-11,0.993403971195221,3.075409501715476e-12,1.9378561255667393e-10,1.2043749848089647e-05,2.5671653691716756e-09,0.006584007292985916,1.195968915264703e-13,1.0281764487387896e-15,1.1275787248354874e-10,[1 6 4 5 3 9 0 2 7 8],1
3,-90,0.1,3,1,0.9898596405982971,[1 6],2.7460200996767825e-13,0.9898596405982971,8.424774346573773e-15,1.360755397250557e-10,6.105892225605203e-06,4.910959106041446e-08,0.010134030133485794,5.869564952349152e-14,1.4923254689283572e-12,2.552505975472741e-07,[1 6 4 9 5 3 8 0 7 2],1
4,-90,0.1,1,1,0.9749260544776917,[1 6],6.931579991942272e-05,0.9749260544776917,2.96707686198161e-10,3.2748506129109956e-08,0.009108105674386024,1.4499156577585381e-06,0.01589515618979931,2.54051608309519e-13,2.426284161037291e-15,8.80156947324906e-10,[1 6 4 0 5 3 9 2 7 8],0
5,-90,0.1,8,1,0.8337759375572205,[1 6],1.7745629930245553e-14,0.8337759375572205,1.370082758182789e-12,4.8877748071163296e-08,2.489816552042612e-06,2.647449264259194e-07,0.16620837152004242,4.674924336534048e-10,3.464596431967948e-08,1.2865162716479972e-05,[1 6 9 4 5 3 8 7 2 0],1
6,-90,0.1,4,1,0.997835099697113,[1 6],9.24113129768811e-12,0.997835099697113,3.251036245766059e-11,7.214830475277267e-07,2.2268379495926638e-07,3.2960925655523e-10,0.0021639748010784388,6.373969684307298e-14,2.8838007828067835e-13,1.979607450186549e-12,[1 6 3 4 5 2 0 9 8 7],1
7,-90,0.1,7,1,0.9837343692779541,[1 6],6.326466636669267e-15,0.9837343692779541,2.979339077353936e-15,1.9042614707309724e-12,5.953158677129977e-08,8.540935425571661e-08,0.01626386120915413,6.900062525473302e-14,1.7698677538726532e-13,1.6874988659765222e-06,[1 6 9 5 4 3 8 7 0 2],1
8,-90,0.1,9,1,0.9972234964370728,[1 6],2.6157618843876114e-16,0.9972234964370728,1.7042939282063685e-10,4.756238467962248e-06,2.029378620704847e-08,2.5232297154453853e-11,0.002771723084151745,6.028590127105105e-11,1.0261831384639208e-09,1.6239301570131204e-10,[1 6 3 4 8 2 9 7 5 0],1
9,-90,0.1,2,1,0.9978615641593933,[1 6],4.0054409984092987e-13,0.9978615641593933,5.591541888115862e-16,9.657992314964295e-14,2.2934553101094934e-07,3.3550540479154733e-07,0.0021370488684624434,1.0157236879856121e-15,1.3760761735821803e-15,7.762515110698587e-07,[1 6 9 5 4 0 3 8 7 2],1
10,-89,0.1,5,1,0.9946271777153015,[1 6],3.0385897790974337e-12,0.9946271777153015,1.8288737191340942e-10,8.107564326564898e-07,5.685513770004036e-06,1.586345638182607e-10,0.0053663174621760845,1.7908490445792125e-12,6.237990267561611e-13,4.152430482795566e-11,[1 6 4 3 2 5 9 0 7 8],1
11,-89,0.1,0,1,0.9948450326919556,[1 6],7.870942092536026e-11,0.9948450326919556,3.3987767027870985e-12,2.4559921030231635e-07,4.6809444029349834e-05,9.932899835973785e-09,0.005107873119413853,5.250535656210406e-14,2.8838319536192425e-13,2.994314241000495e-10,[1 6 4 3 5 9 0 2 8 7],1
12,-89,0.1,6,1,0.9934687614440918,[1 6],5.826242266415704e-11,0.9934687614440918,3.2077136086217095e-12,1.9737232681560357e-10,1.1503656423883513e-05,2.511656438386467e-09,0.006519652437418699,1.1850337876782857e-13,9.937719821245697e-16,1.0249273652007673e-10,[1 6 4 5 3 9 0 2 7 8],1
13,-89,0.1,3,1,0.9898608922958374,[1 6],2.701929934130487e-13,0.9898608922958374,8.436846260138041e-15,1.3607236171164772e-10,5.844248335051816e-06,4.8197829727314456e-08,0.010132921859622002,5.799640688487415e-14,1.4776388662998685e-12,2.426822049983457e-07,[1 6 4 9 5 3 8 0 7 2],1
14,-89,0.1,1,1,0.9742796421051025,[1 6],8.896739018382505e-05,0.9742796421051025,3.2167918329051304e-10,3.549540394942596e-08,0.009503616951406002,1.5507577018070151e-06,0.01612628623843193,2.5632282212549595e-13,2.449815371586726e-15,8.494164815964211e-10,[1 6 4 0 5 3 9 2 7 8],0
15,-89,0.1,8,1,0.8298910856246948,[1 6],1.6835149133044222e-14,0.8298910856246948,1.446884495895362e-12,4.88581228808016e-08,2.28240605792962e-06,2.5342171738884645e-07,0.1700945496559143,4.868448977290996e-10,3.458089636865225e-08,1.1768483091145754e-05,[1 6 9 4 5 3 8 7 2 0],1
16,-89,0.1,4,1,0.9977946281433105,[1 6],1.0540923169044536e-11,0.9977946281433105,3.5417700022799536e-11,7.730893116786319e-07,2.2985892655924545e-07,3.387267966115104e-10,0.002204479416832328,6.591705940849416e-14,2.90542546618755e-13,1.9532656742038412e-12,[1 6 3 4 5 2 0 9 8 7],1
17,-89,0.1,7,1,0.9840829968452454,[1 6],6.52945342379755e-15,0.9840829968452454,2.923496312723828e-15,1.8010819615235651e-12,5.627289922927048e-08,8.680678575956335e-08,0.01591518707573414,6.663816904967784e-14,1.6690862830303493e-13,1.5975266478562844e-06,[1 6 9 5 4 3 8 7 0 2],1
18,-89,0.1,9,1,0.9972007274627686,[1 6],2.706352322794255e-16,0.9972007274627686,1.9666089590142377e-10,5.019432592234807e-06,2.0004021550334983e-08,2.431769542676765e-11,0.002794218948110938,6.640778899003053e-11,1.0109251213918924e-09,1.573372682139862e-10,[1 6 3 4 8 2 9 7 5 0],1
19,-89,0.1,2,1,0.9979078769683838,[1 6],4.258571034872205e-13,0.9979078769683838,5.521976130949051e-16,8.970552572247145e-14,2.1892164170367323e-07,3.3695752676976554e-07,0.0020908210426568985,9.524864316050926e-16,1.2367961108454323e-15,7.201745688689698e-07,[1 6 9 5 4 0 3 8 7 2],1
20,-88,0.1,5,1,0.9946724772453308,[1 6],3.2045145616915738e-12,0.9946724772453308,1.9127861794476786e-10,8.252133056885214e-07,5.592132310994202e-06,1.547462158413282e-10,0.0053210873156785965,1.8020221816475446e-12,6.061850782619616e-13,3.9464216616824643e-11,[1 6 4 3 2 5 9 0 7 8],1
21,-88,0.1,0,1,0.994803249835968,[1 6],8.910359255986933e-11,0.994803249835968,3.4888528697984977e-12,2.565535339726921e-07,4.7908895794535056e-05,1.0341611123010352e-08,0.005148553755134344,5.1924342782264446e-14,2.891537107408554e-13,2.9535535128744073e-10,[1 6 4 3 5 9 0 2 8 7],1
22,-88,0.1,6,1,0.9935004115104675,[1 6],6.297912191755017e-11,0.9935004115104675,3.3803506868657074e-12,1.987439102180133e-10,1.0982535059156362e-05,2.4534634324169247e-09,0.006488523446023464,1.1860303050000714e-13,9.499849315536138e-16,9.378493120992815e-11,[1 6 4 5 3 9 0 2 7 8],1
23,-88,0.1,3,1,0.9896880984306335,[1 6],2.819415707844275e-13,0.9896880984306335,9.050040515709741e-15,1.3945751498045666e-10,5.8931022977049e-06,4.7403055702943675e-08,0.010305790230631828,6.020356468124793e-14,1.4405393111011078e-12,2.3344576050021715e-07,[1 6 4 9 5 3 8 0 7 2],1
24,-88,0.1,1,1,0.9734053611755371,[1 6],0.00011036913201678544,0.9734053611755371,3.4536118409533856e-10,3.8292110815518754e-08,0.01002422347664833,1.6502830249010003e-06,0.01645844802260399,2.604707356919367e-13,2.4909362800770805e-15,8.40716440908551e-10,[1 6 4 0 5 3 9 2 7 8],0
25,-88,0.1,8,1,0.8306360840797424,[1 6],1.5740477633330655e-14,0.8306360840797424,1.5936795069379506e-12,4.891905547310671e-08,2.022321041295072e-06,2.3068433563366852e-07,0.1693517565727234,5.117728463233107e-10,3.250988456215964e-08,9.859601959760766e-06,[1 6 9 4 5 3 8 7 2 0],1
26,-88,0.1,4,1,0.9976818561553955,[1 6],1.2904194206242448e-11,0.9976818561553955,3.7749414705245954e-11,8.470760235468333e-07,2.476529346040479e-07,3.723570618507921e-10,0.002317080507054925,6.859897578367219e-14,3.056209799123799e-13,1.996715509947067e-12,[1 6 3 4 5 2 0 9 8 7],1
